Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Beef stewing cuts,per kilogram,18.74,16.78,14.83,16.44,16.46,15.43,18.02,19.08,19.39,18.58,19.93,17.63
Beef striploin cuts,per kilogram,27.81,22.44,18.62,29.17,21.31,23.49,26.04,24.57,26.4,37.21,41.8,27.03
Beef top sirloin cuts,per kilogram,14.81,14.52,14.48,15.28,17.31,16.57,20.88,19.77,21.76,20.14,25.94,20.57
Beef rib cuts,per kilogram,21.88,28.93,23.35,31.95,33.84,26.17,25.45,27.16,27.05,36.22,28.37,32.33
Ground beef,per kilogram,9.67,9.69,10.28,9.99,9.86,10.09,10.2,11.02,11.09,11.34,12.06,11.52
Pork loin cuts,per kilogram,7.27,7.1,8.56,8.46,7.73,8.13,8.34,8.7,7.7,8.24,8.61,9.1
Pork rib cuts,per kilogram,9.97,8.97,9.81,8.54,8.45,8.79,8.81,8.94,9.34,7.94,8.88,9.58
Pork shoulder cuts,per kilogram,7.9,6.66,6.79,7.38,6.94,6.49,7.77,8.06,8.18,8.34,8.7,8.92
Whole chicken,per kilogram,5.82,5.89,6.43,5.65,6.49,6.59,6.02,6.21,6.44,6.63,6.04,6.42
Chicken breasts,per kilogram,12.73,14.77,13.44,13.51,13.57,13.74,15.23,14.48,14.51,15.21,14.31,13.81
Chicken thigh,per kilogram,9.83,8.03,7.85,7.61,8.71,8.15,7.9,9.36,9.06,8.98,8.31,7.99
Chicken drumsticks,per kilogram,7.78,7,7.2,6.71,7.69,6.74,6.3,6.89,8.31,7.24,6.94,6.55
Bacon,500 grams,6.94,6.76,7.13,6.68,6.64,6,6.69,6.57,6.71,6.69,6.82,6.84
Wieners,500 grams,3.5,3.68,4.08,3.28,3.84,3.43,3.3,3.97,3.97,3.74,3.93,3.53
Salmon,per kilogram,22.89,23.71,22.41,24.63,25.01,25.97,24.38,27.17,27.74,28.03,26.52,26.67
Shrimp,grams,7.8,7.3,8.22,7.83,7.45,7.81,7.59,7.75,7.79,7.69,7.81,8.16
