Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Potatoes,per kilogram,1.26,1.46,1.31,1.49,1.43,1.46,1.56,1.63,1.71,1.57,1.71,1.57
Potatoes,per kilogram,5.51,5.77,5.29,5.37,5.44,5.38,5.13,5.57,5.51,5.77,5.69,5.78
Sweet potatoes,per kilogram,4.26,4.74,4.12,4.89,4.79,4.68,4.46,5.01,4.92,5.06,5.35,5.12
Tomatoes,per kilogram,5.29,7.86,8.46,8.42,8.08,7.19,6.57,6.47,5.98,6.43,6.15,6.11
Cabbage,grams,2.72,2.90,2.82,2.69,2.94,2.87,2.86,2.99,3.15,2.92,2.82,2.91
Carrots,per kilogram,2.90,3.64,3.82,4.14,4.40,4.09,4.32,4.56,4.68,4.57,4.16,4.19
Onions,per kilogram,5.75,5.54,5.87,5.83,5.88,5.82,5.76,5.61,5.81,6.15,6.12,6.06
Onions,per kilogram,3.43,4.34,4.43,4.71,4.92,4.71,4.79,4.89,4.92,5.09,4.81,4.81
Celery,unit,3.46,4.20,4.62,5.10,4.80,4.84,4.76,4.66,4.88,4.22,3.62,3.43
Cucumber,unit,1.97,2.35,2.22,2.43,2.49,2.37,2.11,2.11,1.92,2.04,2.07,2.02
Mushrooms,per kilogram,12.73,13.39,12.78,13.39,13.13,13.35,12.73,12.82,13.26,13.92,13.57,13.22
Iceberg lettuce,unit,3.69,4.82,4.93,4.72,4.23,3.74,3.86,4.31,3.61,3.21,3.20,3.31
Romaine lettuce,unit,3.96,4.93,4.75,4.72,3.98,4.18,4.34,4.43,3.40,2.89,2.62,2.79
Broccoli,unit,3.51,3.90,3.62,4.32,4.27,4.34,4.41,4.57,3.96,3.55,3.12,3.39
Peppers,per kilogram,8.09,10.01,10.16,10.23,10.15,10.23,9.43,9.52,9.52,9.35,8.50,8.43
Squash,kilograms,4.32,4.84,4.89,5.28,6.12,6.60,6.63,6.81,6.84,6.82,6.01,4.49
Salad greens,per kilogram,33.87,35.49,31.76,34.72,31.20,33.73,32.82,34.93,33.31,33.73,34.58,30.99
